id,idea,source,section,kind,law,vibe,language_fit_budget,build,anti_slop,risk,sort_key,page
A-01,"Hero alternate D: the person frames a rectangle with both hands against sky; the glyph swarm exists only inside the frame the hands make, dissolving at its stepped edge.",A02,HOME H1,image,yes — the mask is the subject's own gesture; on any other photo there is no frame,human · futuristic · minimal,"Uses moment 1's slot rather than adding one. An alternate to §5's bee, not an addition; displaces nothing if chosen instead of it",MEDIUM,none,"reads as a viewfinder, a seeing-promise Beeond does not make",1,HOME
A-02,"Shoot the hero low enough that no horizon enters the frame at all, so open sky is the entire ground behind the person.","A02, A16",HOME H1,image,yes — the angle is what puts the swarm in clear sky,futuristic · human,"Corroborates §1's low angle. No invariant conflict, no moment spent",EASY,none,an extreme upward angle flatters few faces and narrows casting,1,HOME
A-03,Layer 4's overlapping-artefact-card device is assigned to no section. Either H4 shows two cards overlapping — the struck line and the rewrite — or the device is unspent.,A03,HOME H4,layout,yes — two states of one line is the section's own argument,technological · clean,Overlap is how the language gets depth without glass. A03's gradient ground and its frosted button are inadmissible,MEDIUM,none,two cards can read as a before-and-after gimmick,3,HOME
A-04,"One grain at one amplitude on every surface — ground, photograph and mark field alike — so bone never reads as flat digital cream.","A04, A05, A13",site-wide,image,"partial — a surface rule, not derived from a subject",expensive · human,"Takes ""analog static grain"" from the reserve, so one reserve technique goes back",EASY,none,"rasterised grain costs payload; it has to be generated, not shipped as an image",30,SITE-WIDE
A-05,The blueprint overlay draws its lines in the hairline token and its labels in muted mono. Hairlines sit below text contrast and cannot carry a callout.,A05,HOME H4,component,"partial — an accessibility consequence, not a derivation",clean · technological,Fixes moment 6's build. The language's own hairline rule requires it,EASY,none,building callouts in the hairline colour fails contrast and the QA gate,3,HOME
A-06,"Approach's chapter anchors as bracketed dimension callouts sitting on the exposed guides, not as a list. Already proposed as plates (§17.2); new is the callout form.",A05,APPROACH A1,type,partial — a typographic borrow,technological · minimal,"Numbers are page measures, not counts, so §10's instrument rule holds",EASY,none,bracketed measures can read as developer debug output,11,APPROACH
A-07,"A05 sets its headline over the photograph. Beeond cannot. The split headline (§17.1) breaks across ground, never across the picture.",A05,HOME H1,type,yes — states the boundary the invariant already implies,clean,Already proposed (§17.1); this fixes where the two halves may sit,EASY,none,"cheap to state now, expensive to discover at render",1,HOME
A-08,Survey callouts sit flat on the picture plane and ignore the subject's perspective. That flatness is what makes them read as record rather than as scenery.,"A07, A15",HOME H5 · ABOUT B1,image,yes — specifies a technique already proposed,technological · clean,"A rule for §17.2's survey layer, which is currently silent on it. No budget change",EASY,none,flat line-work over a strongly perspectival photograph can read as clip art,4,HOME
A-09,"Scrub the dial, not only the frames. At H5's opening the dots exist in patches over the bud; total conversion arrives only when the flower is fully open.",A07,HOME H5,motion,yes — the dial tracks the section's own sentence about phases,futuristic · technological,"Refines the set-piece already proposed. No new moment, no extra frames",MEDIUM,none,patchy early frames can read as a rendering bug rather than a choice,4,HOME
A-10,"A6 close: set the single closing line so its measure is cut by the mark's heptagon silhouette. The rag comes from the mark, not from a shape drawn for effect.",A08,APPROACH A6,type,"partial — derived from the mark, not from a photograph",minimal · futuristic,"Takes ""text-as-shape"" off the not-used list, so one technique goes back on",MEDIUM,none,"still a trick, and close to the cleverness the language argues against at B02",15,APPROACH
